"race","height","weight","speed","strength","dexterity","constitution","intelligence","wisdom","charisma"
"dragonborn",79,279,30,14,15,12,7,13,16
"dragonborn",79,331,30,11,11,11,13,13,17
"dragonborn",71,230,30,14,16,11,13,10,18
"dragonborn",75,265,30,8,19,7,10,13,16
"dragonborn",72,229,30,8,17,14,14,10,9
"dragonborn",72,217,30,16,10,12,12,15,11
"dragonborn",72,223,30,9,14,12,16,14,17
"dragonborn",82,287,30,12,15,14,7,10,17
"dragonborn",72,229,30,12,18,14,12,10,15
"dragonborn",74,239,30,15,19,15,10,9,9
"dragonborn",79,292,30,14,9,11,14,11,16
"dragonborn",75,274,30,15,16,10,14,9,11
"dragonborn",79,253,30,14,16,15,14,14,13
"dragonborn",78,319,30,18,9,15,14,15,15
"dragonborn",75,238,30,17,14,13,12,9,18
"dragonborn",74,199,30,19,16,10,14,13,17
"dragonborn",82,287,30,12,13,17,10,11,13
"dragonborn",72,223,30,10,18,9,12,11,16
"dragonborn",80,287,30,13,19,16,12,12,9
"dragonborn",77,252,30,15,12,13,12,9,5
"dragonborn",76,235,30,18,16,14,8,7,12
"dragonborn",78,271,30,14,10,14,6,14,10
"dragonborn",73,217,30,14,11,13,9,15,16
"dragonborn",69,202,30,15,11,11,7,13,17
"dragonborn",73,231,30,16,8,15,17,15,14
"dragonborn",80,231,30,16,17,13,14,15,11
"dragonborn",81,295,30,12,17,16,8,7,14
"dragonborn",69,184,30,11,13,10,9,5,14
"dragonborn",73,238,30,17,17,7,12,13,12
"dragonborn",74,255,30,16,11,12,16,14,10
"dragonborn",71,220,30,16,13,10,9,16,14
"dragonborn",71,235,30,13,14,7,16,15,14
"dragonborn",77,285,30,13,15,14,9,13,18
"dragonborn",73,224,30,17,16,16,11,11,13
"dragonborn",73,217,30,18,15,11,12,14,14
"dragonborn",78,259,30,15,13,11,15,10,14
"dragonborn",75,238,30,20,12,10,11,11,15
"dragonborn",71,225,30,14,19,13,11,9,10
"dragonborn",74,263,30,18,16,16,10,15,14
"dragonborn",73,217,30,10,15,14,9,14,13
"dragonborn",81,265,30,17,14,13,14,11,11
"dragonborn",74,231,30,15,11,8,10,11,18
"dragonborn",80,259,30,14,12,15,12,13,14
"dragonborn",75,229,30,10,14,14,13,9,8
"dragonborn",80,245,30,14,12,11,11,13,14
"dragonborn",78,247,30,12,15,8,10,15,17
"dragonborn",74,239,30,12,11,11,15,13,18
"dragonborn",73,231,30,18,14,14,11,8,14
"dragonborn",71,205,30,12,17,15,14,16,15
"dragonborn",75,283,30,19,11,15,10,8,7
"dragonborn",75,220,30,12,9,8,16,13,14
"dragonborn",72,235,30,15,18,7,15,14,13
"dragonborn",70,211,30,8,14,14,12,10,12
"dragonborn",77,241,30,18,14,16,14,14,8
"dragonborn",76,255,30,11,15,8,8,11,15
"dragonborn",82,239,30,15,15,15,13,8,17
"dragonborn",81,265,30,16,16,18,12,9,15
"dragonborn",81,250,30,13,14,14,10,7,11
"dragonborn",82,367,30,10,18,9,16,15,12
"dragonborn",82,239,30,17,14,12,12,13,8
"dragonborn",72,217,30,16,15,12,9,15,9
"dragonborn",75,202,30,18,14,12,11,13,16
"dragonborn",80,273,30,19,13,8,16,7,13
"dragonborn",78,235,30,15,12,10,9,12,12
"dragonborn",76,235,30,14,14,15,10,11,11
"dragonborn",73,245,30,16,15,17,10,15,14
"dragonborn",74,231,30,19,17,13,14,10,10
"dragonborn",81,220,30,6,11,5,6,12,17
"dragonborn",79,214,30,16,15,18,17,13,15
"dragonborn",72,211,30,13,17,7,13,14,17
"dragonborn",74,207,30,12,11,13,17,12,19
"dragonborn",80,245,30,18,15,8,13,16,11
"dragonborn",79,240,30,12,14,15,12,10,17
"dragonborn",73,245,30,10,14,11,15,8,7
"dragonborn",78,271,30,14,13,15,16,13,18
"dragonborn",80,301,30,9,13,13,11,11,12
"dragonborn",76,195,30,15,9,11,16,15,12
"dragonborn",76,235,30,11,17,11,14,11,17
"dragonborn",75,265,30,14,14,8,17,15,9
"dragonborn",71,210,30,14,13,13,14,16,14
"dragonborn",75,247,30,16,11,11,12,10,17
"dragonborn",79,266,30,15,13,12,10,12,12
"dragonborn",73,203,30,13,15,10,9,12,15
"dragonborn",75,238,30,19,13,13,11,17,17
"dragonborn",77,252,30,12,12,9,8,16,14
"dragonborn",71,230,30,14,10,18,13,9,14
"dragonborn",72,217,30,18,11,13,17,14,11
"dragonborn",70,207,30,16,12,10,14,14,12
"dragonborn",75,220,30,13,15,9,8,14,15
"dragonborn",76,215,30,16,19,6,16,10,14
"dragonborn",73,217,30,14,14,14,11,12,5
"dragonborn",79,292,30,11,11,9,12,11,12
"dragonborn",69,199,30,16,16,9,10,11,10
"dragonborn",69,202,30,15,13,13,13,13,10
"dragonborn",75,238,30,12,15,14,16,6,13
"dragonborn",74,215,30,16,10,7,13,15,12
"dragonborn",72,217,30,12,15,11,10,6,15
"dragonborn",75,220,30,17,9,13,16,12,15
"dragonborn",71,220,30,14,15,12,6,12,15
"dragonborn",74,215,30,18,14,17,14,10,13
"dragonborn",82,223,30,15,13,12,9,14,16
"dragonborn",77,197,30,11,14,15,17,10,16
"dragonborn",73,217,30,15,20,8,12,15,16
"dragonborn",78,295,30,14,14,11,13,10,13
"dragonborn",78,271,30,9,14,13,12,10,11
"dragonborn",78,211,30,12,16,14,17,14,17
"dragonborn",78,247,30,10,13,18,10,12,13
"dragonborn",82,303,30,19,15,10,13,10,16
"dragonborn",76,245,30,15,18,16,15,16,12
"dragonborn",76,265,30,9,14,10,11,14,10
"dragonborn",68,193,30,15,12,13,15,8,13
"dragonborn",72,217,30,14,14,9,12,16,19
"dragonborn",72,199,30,15,13,11,13,12,11
"dragonborn",77,219,30,16,15,8,11,14,16
"dragonborn",78,295,30,14,15,12,11,16,16
"dragonborn",78,211,30,12,14,15,9,13,13
"dragonborn",77,252,30,16,10,12,11,15,11
"dragonborn",74,231,30,20,12,11,13,14,16
"dragonborn",73,231,30,18,12,10,11,6,17
"dragonborn",71,210,30,14,11,11,10,18,10
"dragonborn",75,238,30,15,12,11,4,11,11
"dragonborn",73,217,30,16,15,13,11,10,14
"dragonborn",79,305,30,15,17,10,10,12,14
"dragonborn",78,235,30,14,18,14,15,13,12
"dragonborn",78,247,30,14,13,10,12,15,18
"dragonborn",76,255,30,18,8,14,17,6,17
"dragonborn",74,239,30,15,12,14,16,11,13
"dragonborn",75,229,30,12,14,16,9,11,14
"dragonborn",75,229,30,16,19,10,10,9,16
"dragonborn",72,235,30,14,13,7,13,14,12
"dragonborn",73,231,30,13,16,8,15,13,12
"dragonborn",73,252,30,16,14,11,15,17,15
"dragonborn",77,197,30,16,15,13,4,15,12
"dragonborn",78,223,30,16,16,15,17,9,12
"dragonborn",70,203,30,6,12,12,12,15,16
"dragonborn",73,238,30,10,16,11,16,13,9
"dragonborn",70,199,30,14,13,9,10,15,11
"dragonborn",80,231,30,15,18,14,14,15,15
"dragonborn",75,247,30,14,13,11,9,12,19
"dragonborn",75,220,30,12,16,15,11,11,17
"dragonborn",75,247,30,9,12,13,11,12,18
"dragonborn",74,255,30,11,10,13,10,11,13
"dragonborn",73,252,30,13,13,14,7,8,16
"dragonborn",77,296,30,11,13,12,13,15,13
"dragonborn",74,223,30,17,12,14,17,9,15
"dragonborn",74,271,30,16,16,13,12,9,14
"dragonborn",74,239,30,18,13,14,11,12,14
"dragonborn",77,274,30,19,11,14,11,8,8
"dragonborn",75,229,30,13,13,7,12,14,16
"dragonborn",80,287,30,9,12,10,18,11,19
"dragonborn",74,255,30,12,16,15,11,12,6
"dragonborn",78,247,30,12,14,15,7,10,13
"dragonborn",75,220,30,13,16,12,16,17,14
"dragonborn",75,274,30,14,13,7,14,12,16
"dragonborn",79,227,30,15,15,11,10,9,14
"dragonborn",76,225,30,20,16,12,18,11,12
"dragonborn",75,247,30,15,11,5,13,15,13
"dragonborn",75,220,30,18,13,10,13,14,12
"dragonborn",73,238,30,19,10,15,15,11,12
"dragonborn",79,253,30,10,14,15,13,6,16
"dragonborn",73,231,30,15,15,15,11,18,16
"dragonborn",76,285,30,17,13,10,10,14,17
"dragonborn",74,263,30,15,11,13,16,12,16
"dragonborn",79,318,30,16,11,12,13,9,8
"dragonborn",74,255,30,13,12,9,10,11,17
"dragonborn",77,285,30,17,6,10,11,6,15
"dragonborn",74,231,30,14,12,9,16,14,16
"dragonborn",73,203,30,12,18,9,9,10,5
